,County,Year,Metro,State,Avg_Annual_Rent,Med_Annual_Income,County_Population,Rent_Income,Percent_AnnualRent_Change,Percent_Pop_Change,Percent_AnnualIncome_Change
1639,"Madison County, Indiana",2015,"Indianapolis, Indiana",Indiana,9460.3,45257,129723,0.209035066,-0.047962644,-0.002660127,0.002725218
1640,"Madison County, Indiana",2016,"Indianapolis, Indiana",Indiana,9739.3,45495,129296,0.214074074,0.029491665,-0.003291629,0.005258855
1641,"Madison County, Kentucky",2013,"Richmond, Kentucky",Kentucky,10509,45316,85590,0.231904846,NA,NA,NA
1642,"Madison County, Kentucky",2014,"Richmond, Kentucky",Kentucky,10776,43973,87340,0.245059468,0.025406794,0.020446314,-0.029636332
1643,"Madison County, Kentucky",2015,"Richmond, Kentucky",Kentucky,10985,45383,87824,0.242050988,0.019394952,0.005541562,0.032065131
1644,"Madison County, Kentucky",2016,"Richmond, Kentucky",Kentucky,11588,43840,89547,0.264324818,0.054893036,0.019618783,-0.033999515
1645,"Madison County, Mississippi",2013,"Jackson, Mississippi",Mississippi,13647,66400,100412,0.205527108,NA,NA,NA
1646,"Madison County, Mississippi",2014,"Jackson, Mississippi",Mississippi,14849,67746,101688,0.219186373,0.088077966,0.012707645,0.020271084
1647,"Madison County, Mississippi",2015,"Jackson, Mississippi",Mississippi,17240,67907,103465,0.253876625,0.161020944,0.017475022,0.002376524
1648,"Madison County, Mississippi",2016,"Jackson, Mississippi",Mississippi,18381,64350,105114,0.285641026,0.066183295,0.015937757,-0.052380462
1649,"Madison County, New York",2013,"Syracuse, New York",New York,18609,52300,72382,0.35581262,NA,NA,NA
1650,"Madison County, New York",2014,"Syracuse, New York",New York,18552.5,51873,72369,0.357652343,-0.003036165,-0.000179603,-0.008164436
1651,"Madison County, New York",2015,"Syracuse, New York",New York,20517,60286,71849,0.340327771,0.105888694,-0.007185397,0.162184566
1652,"Madison County, New York",2016,"Syracuse, New York",New York,21328.5,60630,71329,0.351781296,0.039552566,-0.007237401,0.005706134
1653,"Madison County, Tennessee",2013,"Jackson, Tennessee",Tennessee,9357.333333,39523,98733,0.236756656,NA,NA,NA
1654,"Madison County, Tennessee",2014,"Jackson, Tennessee",Tennessee,10428.5,42412,98178,0.245885598,0.114473497,-0.005621221,0.073096678
1655,"Madison County, Tennessee",2015,"Jackson, Tennessee",Tennessee,10339.5,47801,97610,0.216303006,-0.008534305,-0.00578541,0.127063095
1656,"Madison County, Tennessee",2016,"Jackson, Tennessee",Tennessee,10796.66667,41791,97663,0.258349086,0.044215549,0.000542977,-0.125729587
1657,"Mahoning County, Ohio",2013,"Youngstown, Ohio",Ohio,8564.222222,40843,233869,0.209686414,NA,NA,NA
1658,"Mahoning County, Ohio",2014,"Youngstown, Ohio",Ohio,8741,41134,233204,0.212500608,0.020641428,-0.002843472,0.007124844
1659,"Mahoning County, Ohio",2015,"Youngstown, Ohio",Ohio,9133.111111,41910,231900,0.217922002,0.044858839,-0.005591671,0.018865172
1660,"Mahoning County, Ohio",2016,"Youngstown, Ohio",Ohio,9074.222222,42295,230008,0.21454598,-0.006447845,-0.008158689,0.009186352
1661,"Manatee County, Florida",2013,"Sarasota, Florida",Florida,26371,48309,342106,0.54588172,NA,NA,NA
1662,"Manatee County, Florida",2014,"Sarasota, Florida",Florida,27492.125,52031,351746,0.528379716,0.042513557,0.028178401,0.077045685
1663,"Manatee County, Florida",2015,"Sarasota, Florida",Florida,26696.75,50835,363369,0.525164749,-0.028931012,0.03304373,-0.022986297
1664,"Manatee County, Florida",2016,"Sarasota, Florida",Florida,26120,51748,375888,0.504753807,-0.021603753,0.034452581,0.017960067
1665,"Manitowoc County, Wisconsin",2013,"Manitowoc, Wisconsin",Wisconsin,10399.1,47181,80654,0.220408639,NA,NA,NA
1666,"Manitowoc County, Wisconsin",2014,"Manitowoc, Wisconsin",Wisconsin,10768.1,45136,80160,0.238570099,0.03548384,-0.006124929,-0.043343719
1667,"Manitowoc County, Wisconsin",2015,"Manitowoc, Wisconsin",Wisconsin,11481.6,50302,79806,0.22825335,0.066260529,-0.004416168,0.114454094
1668,"Manitowoc County, Wisconsin",2016,"Manitowoc, Wisconsin",Wisconsin,11898.8,51752,79536,0.229919617,0.036336399,-0.003383204,0.028825892
1669,"Marathon County, Wisconsin",2013,"Wausau, Wisconsin",Wisconsin,10280.5625,51635,135416,0.199100658,NA,NA,NA
1670,"Marathon County, Wisconsin",2014,"Wausau, Wisconsin",Wisconsin,10974.6875,53300,135780,0.205904081,0.067518193,0.002688013,0.03224557
1671,"Marathon County, Wisconsin",2015,"Wausau, Wisconsin",Wisconsin,11439.8125,55687,135868,0.205430576,0.042381617,0.000648107,0.04478424
1672,"Marathon County, Wisconsin",2016,"Wausau, Wisconsin",Wisconsin,11881.4375,54774,135603,0.21691747,0.038604217,-0.001950422,-0.016395209
1673,"Maricopa County, Arizona",2013,"Phoenix, Arizona",Arizona,18766.56667,52045,4009412,0.360583469,NA,NA,NA
1674,"Maricopa County, Arizona",2014,"Phoenix, Arizona",Arizona,18558.53333,53896,4087191,0.344339716,-0.011085317,0.019399104,0.035565376
1675,"Maricopa County, Arizona",2015,"Phoenix, Arizona",Arizona,19672.56667,56004,4167947,0.351270743,0.060028091,0.019758313,0.039112365
1676,"Maricopa County, Arizona",2016,"Phoenix, Arizona",Arizona,20543.73333,58737,4242997,0.349757961,0.044283325,0.018006467,0.048800086
1677,"Marin County, California",2013,"San Francisco, California",California,55542,96580,258365,0.57508801,NA,NA,NA
1678,"Marin County, California",2014,"San Francisco, California",California,62252.71429,95749,260750,0.650165686,0.120822338,0.009231127,-0.008604266
1679,"Marin County, California",2015,"San Francisco, California",California,69352.5,100662,261221,0.688964058,0.11404781,0.001806328,0.051311241
1680,"Marin County, California",2016,"San Francisco, California",California,72612.35714,103845,260651,0.699237875,0.047004176,-0.00218206,0.031620671
1681,"Marion County, Florida",2013,"Ocala, Florida",Florida,11110.81818,38695,337362,0.287138343,NA,NA,NA
1682,"Marion County, Florida",2014,"Ocala, Florida",Florida,11501,39958,339167,0.287827219,0.035117289,0.005350336,0.032639876
1683,"Marion County, Florida",2015,"Ocala, Florida",Florida,12376.09091,40050,343254,0.309016003,0.076088245,0.012050111,0.002302418
1684,"Marion County, Florida",2016,"Ocala, Florida",Florida,12517.18182,39383,349020,0.317832106,0.011400281,0.016798056,-0.016654182
1685,"Marion County, Indiana",2013,"Indianapolis, Indiana",Indiana,14381.71429,41345,928281,0.347846518,NA,NA,NA
1686,"Marion County, Indiana",2014,"Indianapolis, Indiana",Indiana,15214.14286,42557,934243,0.357500361,0.057881039,0.006422624,0.029314306
1687,"Marion County, Indiana",2015,"Indianapolis, Indiana",Indiana,16455.71429,41226,939020,0.399158645,0.0816064,0.005113231,-0.031275701
1688,"Marion County, Indiana",2016,"Indianapolis, Indiana",Indiana,16826.71429,44874,941229,0.37497692,0.02254536,0.002352453,0.088487847
1689,"Marion County, Ohio",2013,"Marion, Ohio",Ohio,10271,41849,65905,0.245429998,NA,NA,NA
1690,"Marion County, Ohio",2014,"Marion, Ohio",Ohio,10653.33333,39233,65720,0.271540115,0.037224548,-0.002807071,-0.062510454
1691,"Marion County, Ohio",2015,"Marion, Ohio",Ohio,11043.66667,40607,65355,0.271964604,0.036639549,-0.005553865,0.035021538
1692,"Marion County, Ohio",2016,"Marion, Ohio",Ohio,10927,42826,65096,0.255148741,-0.010564124,-0.003962971,0.054645751
1693,"Marion County, Oregon",2013,"Salem, Oregon",Oregon,13815.13333,46873,323614,0.29473542,NA,NA,NA
1694,"Marion County, Oregon",2014,"Salem, Oregon",Oregon,14683.53333,48620,326110,0.302006033,0.062858604,0.007712893,0.037270924
1695,"Marion County, Oregon",2015,"Salem, Oregon",Oregon,16174.06667,52047,330700,0.310758865,0.101510536,0.014075005,0.070485397
1696,"Marion County, Oregon",2016,"Salem, Oregon",Oregon,17459.86667,56550,336316,0.308750958,0.079497632,0.016982159,0.086517955
1697,"Marquette County, Michigan",2013,"Marquette, Michigan",Michigan,9914.6,45011,67700,0.220270601,NA,NA,NA
1698,"Marquette County, Michigan",2014,"Marquette, Michigan",Michigan,10262.4,44267,67676,0.23182958,0.03507958,-0.000354505,-0.016529293
1699,"Marquette County, Michigan",2015,"Marquette, Michigan",Michigan,11298.4,48259,67215,0.234120061,0.100951045,-0.006811868,0.090180044
1700,"Marquette County, Michigan",2016,"Marquette, Michigan",Michigan,11249.4,51275,66435,0.219393467,-0.004336897,-0.011604553,0.062496115
1701,"Marshall County, Alabama",2013,"Albertville, Alabama",Alabama,10476.5,38116,94760,0.274858327,NA,NA,NA
1702,"Marshall County, Alabama",2014,"Albertville, Alabama",Alabama,10576.83333,33446,94636,0.316236122,0.00957699,-0.001308569,-0.122520726
1703,"Marshall County, Alabama",2015,"Albertville, Alabama",Alabama,11430.16667,40525,94725,0.282052231,0.080679472,0.000940445,0.211654607
1704,"Marshall County, Alabama",2016,"Albertville, Alabama",Alabama,11341.33333,42362,95157,0.267724218,-0.007771832,0.00456057,0.045330043
1705,"Martin County, Florida",2013,"Port St. Lucie, Florida",Florida,42149.6,49444,151263,0.852471483,NA,NA,NA
1706,"Martin County, Florida",2014,"Port St. Lucie, Florida",Florida,44426.8,55866,153392,0.795238607,0.05402661,0.014074823,0.129884314
1707,"Martin County, Florida",2015,"Port St. Lucie, Florida",Florida,45306.3,51622,156283,0.877654876,0.019796609,0.018847137,-0.075967494
1708,"Martin County, Florida",2016,"Port St. Lucie, Florida",Florida,44915.7,54620,158701,0.822330648,-0.008621318,0.015471932,0.058076014
1709,"Maui County, Hawaii",2013,"Kahului, Hawaii",Hawaii,22156,65558,160195,0.337960279,NA,NA,NA
1710,"Maui County, Hawaii",2014,"Kahului, Hawaii",Hawaii,20347,67013,163046,0.303627654,-0.081648312,0.01779706,0.022194088
1711,"Maui County, Hawaii",2015,"Kahului, Hawaii",Hawaii,20632,70497,164593,0.292664936,0.014006979,0.00948812,0.051989912
1712,"Maui County, Hawaii",2016,"Kahului, Hawaii",Hawaii,24194,72257,165379,0.334832611,0.172644436,0.004775416,0.024965601
1713,"Maury County, Tennessee",2013,"Nashville, Tennessee",Tennessee,11578.85714,45712,83761,0.253300165,NA,NA,NA
1714,"Maury County, Tennessee",2014,"Nashville, Tennessee",Tennessee,12313.28571,53990,85515,0.228066044,0.063428416,0.020940533,0.181090305
1715,"Maury County, Tennessee",2015,"Nashville, Tennessee",Tennessee,13024.71429,50707,87757,0.256862253,0.057777314,0.026217623,-0.060807557
1716,"Maury County, Tennessee",2016,"Nashville, Tennessee",Tennessee,13524.57143,50591,89981,0.267331569,0.03837759,0.025342708,-0.002287653
1717,"McCracken County, Kentucky",2013,"Paducah, Kentucky",Kentucky,10742.66667,41209,65373,0.26068739,NA,NA,NA
1718,"McCracken County, Kentucky",2014,"Paducah, Kentucky",Kentucky,10869.33333,36712,65316,0.296070313,0.011790989,-0.00087192,-0.109126647
1719,"McCracken County, Kentucky",2015,"Paducah, Kentucky",Kentucky,11718,51114,65018,0.22925226,0.078078999,-0.004562435,0.392296797
1720,"McCracken County, Kentucky",2016,"Paducah, Kentucky",Kentucky,11382.5,39048,65162,0.291500205,-0.028631166,0.002214771,-0.23606057
1721,"McHenry County, Illinois",2013,"Chicago, Illinois",Illinois,19388.34783,75449,307409,0.256972893,NA,NA,NA
1722,"McHenry County, Illinois",2014,"Chicago, Illinois",Illinois,19931.56522,76628,307283,0.260108123,0.028017725,-0.000409877,0.01562645
1723,"McHenry County, Illinois",2015,"Chicago, Illinois",Illinois,20205.82609,80125,307343,0.252178797,0.013760127,0.00019526,0.04563606
1724,"McHenry County, Illinois",2016,"Chicago, Illinois",Illinois,20241.08696,81063,307004,0.249695755,0.001745084,-0.001103002,0.011706708
1725,"McKinley County, New Mexico",2013,"Gallup, New Mexico",New Mexico,12322,24945,73308,0.493966727,NA,NA,NA
1726,"McKinley County, New Mexico",2014,"Gallup, New Mexico",New Mexico,12221,27041,74098,0.451943345,-0.008196721,0.01077645,0.084024855
1727,"McKinley County, New Mexico",2015,"Gallup, New Mexico",New Mexico,12870,28212,76708,0.456188856,0.053105311,0.035223623,0.043304612
1728,"McKinley County, New Mexico",2016,"Gallup, New Mexico",New Mexico,13049,31526,74923,0.413912326,0.013908314,-0.023270063,0.117467744
1729,"McLean County, Illinois",2013,"Bloomington, Illinois",Illinois,12483.25,61846,174647,0.201844097,NA,NA,NA
1730,"McLean County, Illinois",2014,"Bloomington, Illinois",Illinois,12417.1875,58061,174061,0.213864513,-0.005292091,-0.00335534,-0.061200401
1731,"McLean County, Illinois",2015,"Bloomington, Illinois",Illinois,13557.625,65304,173166,0.20760788,0.091843463,-0.005141876,0.12474811
1732,"McLean County, Illinois",2016,"Bloomington, Illinois",Illinois,13651.75,62156,172418,0.219636881,0.006942588,-0.004319555,-0.048205317
1733,"McLennan County, Texas",2013,"Waco, Texas",Texas,12774.375,40633,241481,0.314384244,NA,NA,NA
1734,"McLennan County, Texas",2014,"Waco, Texas",Texas,13143.0625,43609,243441,0.301384175,0.02886149,0.008116581,0.073240962
1735,"McLennan County, Texas",2015,"Waco, Texas",Texas,13319.875,46602,245671,0.28582196,0.013452915,0.00916033,0.068632622
1736,"McLennan County, Texas",2016,"Waco, Texas",Texas,14032.1875,46860,247934,0.299449157,0.053477416,0.009211506,0.005536243
1737,"Mecklenburg County, North Carolina",2013,"Charlotte, North Carolina",North Carolina,15642.42857,54278,990977,0.288190953,NA,NA,NA
1738,"Mecklenburg County, North Carolina",2014,"Charlotte, North Carolina",North Carolina,16095.14286,58841,1012539,0.273536188,0.028941432,0.021758325,0.08406721
1739,"Mecklenburg County, North Carolina",2015,"Charlotte, North Carolina",North Carolina,16903,56883,1034070,0.297153807,0.050192605,0.021264366,-0.033276117
1740,"Mecklenburg County, North Carolina",2016,"Charlotte, North Carolina",North Carolina,17592.71429,62978,1054835,0.279346983,0.040804253,0.020080846,0.107149764
1741,"Medina County, Ohio",2013,"Cleveland, Ohio",Ohio,16086.66667,66477,174915,0.241988457,NA,NA,NA
1742,"Medina County, Ohio",2014,"Cleveland, Ohio",Ohio,16869.33333,67969,176029,0.248191578,0.048653129,0.006368808,0.022443853
1743,"Medina County, Ohio",2015,"Cleveland, Ohio",Ohio,16921.66667,69989,176395,0.241776089,0.003102276,0.002079203,0.029719431
1744,"Medina County, Ohio",2016,"Cleveland, Ohio",Ohio,17343.88889,72618,177221,0.238837325,0.024951574,0.004682672,0.037563046
1745,"Merced County, California",2013,"Merced, California",California,11406.54545,40687,263228,0.280348648,NA,NA,NA
1746,"Merced County, California",2014,"Merced, California",California,11606.72727,44084,266353,0.263286618,0.017549732,0.011871837,0.083491041
1747,"Merced County, California",2015,"Merced, California",California,12044,41997,268455,0.286782389,0.037674076,0.007891783,-0.047341439
1748,"Merced County, California",2016,"Merced, California",California,13026,47739,268672,0.272858669,0.081534374,0.000808329,0.136724052
1749,"Mercer County, New Jersey",2013,"Trenton, New Jersey",New Jersey,27214.92308,70857,370414,0.38408235,NA,NA,NA
1750,"Mercer County, New Jersey",2014,"Trenton, New Jersey",New Jersey,27801.76923,74961,371537,0.370883116,0.021563396,0.003031743,0.057919472
1751,"Mercer County, New Jersey",2015,"Trenton, New Jersey",New Jersey,28522.23077,72417,371398,0.393860982,0.025914233,-0.000374122,-0.033937648
1752,"Mercer County, New Jersey",2016,"Trenton, New Jersey",New Jersey,29301.30769,77650,371023,0.377351033,0.027314726,-0.001009698,0.072262038
1753,"Merrimack County, New Hampshire",2013,"Concord, New Hampshire",New Hampshire,17516.89655,65662,146849,0.266773728,NA,NA,NA
1754,"Merrimack County, New Hampshire",2014,"Concord, New Hampshire",New Hampshire,17630.31034,62418,147171,0.282455547,0.006474537,0.002192729,-0.049404526
1755,"Merrimack County, New Hampshire",2015,"Concord, New Hampshire",New Hampshire,17544.7931,68566,147994,0.255881823,-0.004850581,0.005592134,0.098497228
1756,"Merrimack County, New Hampshire",2016,"Concord, New Hampshire",New Hampshire,17737.82759,69505,148582,0.255202181,0.01100238,0.003973134,0.013694834
1757,"Mesa County, Colorado",2013,"Grand Junction, Colorado",Colorado,13777.4,46723,147554,0.294874045,NA,NA,NA
1758,"Mesa County, Colorado",2014,"Grand Junction, Colorado",Colorado,13560.2,50174,148255,0.270263483,-0.015764948,0.004750803,0.073860839
1759,"Mesa County, Colorado",2015,"Grand Junction, Colorado",Colorado,13873,51465,148513,0.269561838,0.023067506,0.001740245,0.025730458
1760,"Mesa County, Colorado",2016,"Grand Junction, Colorado",Colorado,14142.2,48846,150083,0.289526266,0.019404599,0.010571465,-0.050888954
1761,"Miami-Dade County, Florida",2013,"Miami-Fort Lauderdale, Florida",Florida,22896.2029,41913,2617176,0.546279267,NA,NA,NA
1762,"Miami-Dade County, Florida",2014,"Miami-Fort Lauderdale, Florida",Florida,24533.01449,42926,2662874,0.571518765,0.071488342,0.017460805,0.024169112
1763,"Miami-Dade County, Florida",2015,"Miami-Fort Lauderdale, Florida",Florida,26161.21739,43786,2693117,0.597479043,0.066367829,0.011357278,0.020034478
1764,"Miami-Dade County, Florida",2016,"Miami-Fort Lauderdale, Florida",Florida,27216.27536,45935,2712945,0.592495382,0.040329085,0.007362473,0.049079614
1765,"Miami County, Ohio",2013,"Dayton, Ohio",Ohio,11552.25,51581,103439,0.223963281,NA,NA,NA
1766,"Miami County, Ohio",2014,"Dayton, Ohio",Ohio,11406.5,51087,103900,0.22327598,-0.01261659,0.004456733,-0.00957717
1767,"Miami County, Ohio",2015,"Dayton, Ohio",Ohio,11370.25,49156,104224,0.231309504,-0.003178013,0.003118383,-0.037798266
1768,"Miami County, Ohio",2016,"Dayton, Ohio",Ohio,11761.5,60170,104679,0.195471165,0.034409973,0.004365597,0.224062169
1769,"Middlesex County, Connecticut",2013,"Hartford, Connecticut",Connecticut,19117.4375,75303,165562,0.253873518,NA,NA,NA
1770,"Middlesex County, Connecticut",2014,"Hartford, Connecticut",Connecticut,19599.875,75876,164943,0.258314553,0.025235469,-0.003738781,0.007609259
1771,"Middlesex County, Connecticut",2015,"Hartford, Connecticut",Connecticut,20129.3125,83530,164063,0.24098303,0.02701229,-0.005335176,0.100875112
1772,"Middlesex County, Connecticut",2016,"Hartford, Connecticut",Connecticut,20286.0625,79739,163329,0.25440578,0.007787151,-0.004473891,-0.045384892
1773,"Middlesex County, Massachusetts",2013,"Boston, Massachusetts",Massachusetts,26474.55556,82425,1552802,0.3211957,NA,NA,NA
1774,"Middlesex County, Massachusetts",2014,"Boston, Massachusetts",Massachusetts,27402.81481,84464,1570315,0.324431886,0.035062317,0.011278321,0.02473764
1775,"Middlesex County, Massachusetts",2015,"Boston, Massachusetts",Massachusetts,29396.85185,90267,1585139,0.325665546,0.072767599,0.009440144,0.068703826
1776,"Middlesex County, Massachusetts",2016,"Boston, Massachusetts",Massachusetts,30776,95249,1589774,0.323111004,0.046914825,0.002924034,0.05519182
1777,"Middlesex County, New Jersey",2013,"New York, New Jersey",New Jersey,23793.84848,76848,828919,0.309622222,NA,NA,NA
1778,"Middlesex County, New Jersey",2014,"New York, New Jersey",New Jersey,24483.9697,77682,836297,0.31518202,0.029004186,0.008900749,0.010852592
1779,"Middlesex County, New Jersey",2015,"New York, New Jersey",New Jersey,24728.72727,78643,840900,0.314442827,0.009996646,0.005504025,0.012370948
1780,"Middlesex County, New Jersey",2016,"New York, New Jersey",New Jersey,25623.15152,82375,837073,0.31105495,0.036169441,-0.004551076,0.047454955
1781,"Midland County, Michigan",2013,"Midland, Michigan",Michigan,11335.66667,49913,83919,0.227108502,NA,NA,NA
1782,"Midland County, Michigan",2014,"Midland, Michigan",Michigan,11497.33333,49194,83427,0.233714139,0.01426177,-0.005862796,-0.014405065
1783,"Midland County, Michigan",2015,"Midland, Michigan",Michigan,12739.33333,59292,83632,0.214857541,0.108025049,0.002457238,0.205268935
1784,"Midland County, Michigan",2016,"Midland, Michigan",Michigan,12876.66667,57269,83462,0.224845321,0.010780261,-0.002032715,-0.034119274
1785,"Milwaukee County, Wisconsin",2013,"Milwaukee, Wisconsin",Wisconsin,13187.6,41959,956023,0.31429729,NA,NA,NA
1786,"Milwaukee County, Wisconsin",2014,"Milwaukee, Wisconsin",Wisconsin,12863.6,42765,956406,0.300797381,-0.024568534,0.000400618,0.019209228
1787,"Milwaukee County, Wisconsin",2015,"Milwaukee, Wisconsin",Wisconsin,13683.6,45859,957735,0.298384178,0.063745763,0.001389577,0.072348883
1788,"Milwaukee County, Wisconsin",2016,"Milwaukee, Wisconsin",Wisconsin,13713.9,47607,951448,0.28806478,0.00221433,-0.006564446,0.038116836
1789,"Minnehaha County, South Dakota",2013,"Sioux Falls, South Dakota",South Dakota,14351.125,52117,179640,0.275363605,NA,NA,NA
1790,"Minnehaha County, South Dakota",2014,"Sioux Falls, South Dakota",South Dakota,13310.125,54829,182882,0.242757026,-0.072537867,0.018047206,0.052036763
1791,"Minnehaha County, South Dakota",2015,"Sioux Falls, South Dakota",South Dakota,13513.625,54918,185197,0.246069139,0.015289113,0.012658435,0.001623229
1792,"Minnehaha County, South Dakota",2016,"Sioux Falls, South Dakota",South Dakota,14157,60038,187318,0.23580066,0.047609357,0.011452669,0.093229906
1793,"Missoula County, Montana",2013,"Missoula, Montana",Montana,14008.36364,48077,111807,0.291373497,NA,NA,NA
1794,"Missoula County, Montana",2014,"Missoula, Montana",Montana,14322.45455,44289,112684,0.323386271,0.02242167,0.007843874,-0.078790274
1795,"Missoula County, Montana",2015,"Missoula, Montana",Montana,14508,42815,114181,0.338853206,0.012954864,0.013284938,-0.033281402
1796,"Missoula County, Montana",2016,"Missoula, Montana",Montana,15072.36364,46550,116130,0.323788693,0.038900168,0.01706939,0.087235782
1797,"Mobile County, Alabama",2013,"Mobile, Alabama",Alabama,10215.88889,42944,414079,0.23788862,NA,NA,NA
1798,"Mobile County, Alabama",2014,"Mobile, Alabama",Alabama,10355.38889,43642,415123,0.237280347,0.013655199,0.002521258,0.016253726
1799,"Mobile County, Alabama",2015,"Mobile, Alabama",Alabama,11015.11111,42699,415395,0.257971173,0.063708107,0.000655227,-0.021607626
1800,"Mobile County, Alabama",2016,"Mobile, Alabama",Alabama,11115.61111,45744,414836,0.242996046,0.00912383,-0.001345707,0.071313146
1801,"Mohave County, Arizona",2013,"Lake Havasu City, Arizona",Arizona,11414.33333,39058,203030,0.292240599,NA,NA,NA
1802,"Mohave County, Arizona",2014,"Lake Havasu City, Arizona",Arizona,11084,37674,203361,0.294208207,-0.028940221,0.001630301,-0.035434482
1803,"Mohave County, Arizona",2015,"Lake Havasu City, Arizona",Arizona,10873.16667,40908,204737,0.265795606,-0.019021412,0.006766292,0.085841695
1804,"Mohave County, Arizona",2016,"Lake Havasu City, Arizona",Arizona,10935.83333,42423,205249,0.257780764,0.005763424,0.002500769,0.037034321
1805,"Monmouth County, New Jersey",2013,"New York, New Jersey",New Jersey,28507.72917,83749,629672,0.34039486,NA,NA,NA
1806,"Monmouth County, New Jersey",2014,"New York, New Jersey",New Jersey,28976.39583,88413,629279,0.327739086,0.016439986,-0.000624134,0.055690217
1807,"Monmouth County, New Jersey",2015,"New York, New Jersey",New Jersey,29957.66667,87092,628715,0.34397725,0.033864489,-0.000896264,-0.014941242
1808,"Monmouth County, New Jersey",2016,"New York, New Jersey",New Jersey,30187.29167,90226,625846,0.334574199,0.007664983,-0.004563276,0.035984935
1809,"Monongalia County, West Virginia",2013,"Morgantown, West Virginia",West Virginia,14433.16667,49534,102274,0.291378985,NA,NA,NA
1810,"Monongalia County, West Virginia",2014,"Morgantown, West Virginia",West Virginia,14730,41955,103463,0.351090454,0.020566057,0.011625633,-0.153006016
1811,"Monongalia County, West Virginia",2015,"Morgantown, West Virginia",West Virginia,15496.16667,45880,104236,0.337754287,0.05201403,0.00747127,0.093552616
1812,"Monongalia County, West Virginia",2016,"Morgantown, West Virginia",West Virginia,15326.5,50953,104622,0.300796813,-0.010948944,0.003703135,0.110571055
1813,"Monroe County, Florida",2013,"Key West, Florida",Florida,28544,50838,76351,0.561469767,NA,NA,NA
1814,"Monroe County, Florida",2014,"Key West, Florida",Florida,32199,59388,77136,0.542180238,0.128047926,0.010281463,0.168181282
1815,"Monroe County, Florida",2015,"Key West, Florida",Florida,37423.4,61020,77482,0.61329728,0.162253486,0.004485584,0.027480299
1816,"Monroe County, Florida",2016,"Key West, Florida",Florida,38311,65717,79077,0.582969399,0.023717781,0.020585426,0.076974762
1817,"Monroe County, Indiana",2013,"Bloomington, Indiana",Indiana,14144.66667,41972,141888,0.337002446,NA,NA,NA
1818,"Monroe County, Indiana",2014,"Bloomington, Indiana",Indiana,13895.33333,43657,143339,0.3182842,-0.017627374,0.010226376,0.040145811
1819,"Monroe County, Indiana",2015,"Bloomington, Indiana",Indiana,14274.66667,45062,144705,0.316778365,0.027299333,0.009529856,0.032182697
1820,"Monroe County, Indiana",2016,"Bloomington, Indiana",Indiana,14576.66667,43582,145496,0.334465299,0.021156361,0.005466293,-0.032843638
1821,"Monroe County, Michigan",2013,"Monroe, Michigan",Michigan,12089.57895,53561,150376,0.22571608,NA,NA,NA
1822,"Monroe County, Michigan",2014,"Monroe, Michigan",Michigan,12732.26316,57275,149824,0.222300535,0.053160181,-0.003670799,0.069341498
1823,"Monroe County, Michigan",2015,"Monroe, Michigan",Michigan,13292,54396,149568,0.244356203,0.043962086,-0.001708672,-0.050266259
1824,"Monroe County, Michigan",2016,"Monroe, Michigan",Michigan,12995.31579,60799,149208,0.213742262,-0.022320509,-0.002406932,0.117710861
1825,"Monroe County, New York",2013,"Rochester, New York",New York,15070.19048,51665,749606,0.291690515,NA,NA,NA
1826,"Monroe County, New York",2014,"Rochester, New York",New York,14916.80952,51217,749857,0.291247233,-0.010177771,0.000334843,-0.008671247
1827,"Monroe County, New York",2015,"Rochester, New York",New York,16078.14286,54077,749600,0.297319431,0.077854003,-0.000342732,0.055840834
1828,"Monroe County, New York",2016,"Rochester, New York",New York,16294.28571,54492,747727,0.299021613,0.013443273,-0.002498666,0.007674242
1829,"Monroe County, Pennsylvania",2013,"East Stroudsburg, Pennsylvania",Pennsylvania,14763.7619,55536,167148,0.26584129,NA,NA,NA
1830,"Monroe County, Pennsylvania",2014,"East Stroudsburg, Pennsylvania",Pennsylvania,14746.2381,63118,166314,0.233629679,-0.001186947,-0.00498959,0.136524056
1831,"Monroe County, Pennsylvania",2015,"East Stroudsburg, Pennsylvania",Pennsylvania,14854.57143,57318,166397,0.259160673,0.007346506,0.000499056,-0.091891378
1832,"Monroe County, Pennsylvania",2016,"East Stroudsburg, Pennsylvania",Pennsylvania,14831.33333,60095,166098,0.246798125,-0.001564373,-0.001796907,0.048449004
1833,"Monterey County, California",2013,"Salinas, California",California,25031.86667,57052,428826,0.438755288,NA,NA,NA
1834,"Monterey County, California",2014,"Salinas, California",California,26127.06667,57864,431344,0.451525416,0.04375223,0.005871845,0.01423263
1835,"Monterey County, California",2015,"Salinas, California",California,28387.4,60494,433898,0.469259761,0.086513092,0.005921028,0.045451403
1836,"Monterey County, California",2016,"Salinas, California",California,30077.8,63876,435232,0.470877951,0.059547546,0.003074455,0.055906371
1837,"Montgomery County, Alabama",2013,"Montgomery, Alabama",Alabama,11796.4,44675,226659,0.264049245,NA,NA,NA
1838,"Montgomery County, Alabama",2014,"Montgomery, Alabama",Alabama,12183.2,43346,226189,0.281068611,0.032789665,-0.0020736,-0.029748181
1839,"Montgomery County, Alabama",2015,"Montgomery, Alabama",Alabama,12934,42477,226519,0.304494197,0.061625845,0.001458957,-0.020047986
1840,"Montgomery County, Alabama",2016,"Montgomery, Alabama",Alabama,12627.4,45395,226349,0.278167199,-0.023704964,-0.000750489,0.068696
